Slno,Date&time,IMEI,PSLNo,Intensity,Voltage,Current,Power,MqttByte,SLCfault,Driverfault
1,2/7/2025 21:32,862506075153661F,0101248D2B022925,100,212.00V,0283.00mA,059.00W,0x02,0x00,0x00
2,2/7/2025 21:32,862506075163876F,1112238D2B030151,100,201.00V,0441.00mA,088.00W,0x03,0x00,0x00
3,2/7/2025 21:32,862506074036404F,1612238D2B03095348,100,231.00V,0657.00mA,151.00W,0x02,0x00,0x00
4,2/7/2025 21:32,862506074029458F,1112238D2B02011248,000,253.00V,0000.00mA,000.00W,0x02,0x00,0x00
5,2/7/2025 21:31,862506074045710F,3012238D2B022705,100,237.00V,0649.00mA,153.00W,0x03,0x80,0x00
6,2/7/2025 21:31,862506075139942F,1912238D2B04097248,100,242.00V,0373.00mA,089.00W,0x02,0x00,0x00
7,2/7/2025 21:31,862506074006472F,2712238D2B02241748,100,247.00V,0712.00mA,175.00W,0x02,0x00,0x20
8,2/7/2025 21:30,862506075153661F,0101248D2B022925,100,211.00V,0283.00mA,059.00W,0x03,0x00,0x00
9,2/7/2025 21:30,862506075163876F,1112238D2B030151,100,200.00V,0444.00mA,088.00W,0x03,0x00,0x00
10,2/7/2025 21:30,862506074036404F,1612238D2B03095348,100,230.00V,0659.00mA,151.00W,0x02,0x00,0x00
11,2/7/2025 21:30,862506074029458F,1112238D2B02011248,000,253.00V,0000.00mA,000.00W,0x02,0x00,0x00
12,2/7/2025 21:29,862506074045710F,3012238D2B022705,100,238.00V,0645.00mA,153.00W,0x02,0x80,0x00
13,2/7/2025 21:28,862506075153661F,0101248D2B022925,100,210.00V,0284.00mA,059.00W,0x03,0x00,0x00
14,2/7/2025 21:28,862506075156136F,2112238D2B01158848,100,254.00V,0598.00mA,149.00W,0x02,0x00,0x80
15,2/7/2025 21:28,862506075163876F,1112238D2B030151,100,200.00V,0445.00mA,088.00W,0x02,0x00,0x00
16,2/7/2025 21:28,862506074026561F,1412238D2B01043748,100,213.00V,0425.00mA,090.00W,0x02,0x00,0x00
17,2/7/2025 21:28,862506074029458F,1112238D2B02011248,000,253.00V,0000.00mA,000.00W,0x02,0x00,0x00
18,2/7/2025 21:26,862506075177009F,2112238D2B01168648,100,240.00V,0371.00mA,088.00W,0x02,0x00,0x40
19,2/7/2025 21:26,862506075153661F,0101248D2B022925,100,210.00V,0284.00mA,059.00W,0x03,0x00,0x00
20,2/7/2025 21:26,862506074006472F,2712238D2B02241748,100,248.00V,0709.00mA,175.00W,0x02,0x00,0x20
21,2/7/2025 21:26,862506075156896F,2512238D2B03191748,100,237.00V,0382.00mA,089.00W,0x02,0x00,0x00
22,2/7/2025 21:26,862506074047583F,0201248D2B042193,100,234.00V,0645.00mA,151.00W,0x02,0x00,0x00
23,2/7/2025 21:26,862506075163876F,1112238D2B030151,100,202.00V,0440.00mA,088.00W,0x02,0x00,0x00
24,2/7/2025 21:26,862506074016547F,0201248D2B013003,100,249.00V,0617.00mA,153.00W,0x02,0x01,0x00
25,2/7/2025 21:26,862506074029458F,1112238D2B02011248,000,253.00V,0000.00mA,000.00W,0x02,0x00,0x00
