MSISDN,Message Type,Message,Date & Time,Template Name,Sent By,Status,Description
5.75409E+12,Incoming,"IMEI=862506075153661F,PSLNo=0101248D2B022925,Intensity=100,Voltage=212.00V,Current=0283.00mA,Power=059.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:32,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075163876F,PSLNo=1112238D2B030151,Intensity=100,Voltage=201.00V,Current=0441.00mA,Power=088.00W,MqttByte=0x03,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:32,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074036404F,PSLNo=1612238D2B03095348,Intensity=100,Voltage=231.00V,Current=0657.00mA,Power=151.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:32,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074029458F,PSLNo=1112238D2B02011248,Intensity=000,Voltage=253.00V,Current=0000.00mA,Power=000.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:32,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074045710F,PSLNo=3012238D2B022705,Intensity=100,Voltage=237.00V,Current=0649.00mA,Power=153.00W,MqttByte=0x03,SLCfault=0x80,Driverfault=0x00",2/7/2025 21:31,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075139942F,PSLNo=1912238D2B04097248,Intensity=100,Voltage=242.00V,Current=0373.00mA,Power=089.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:31,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074006472F,PSLNo=2712238D2B02241748,Intensity=100,Voltage=247.00V,Current=0712.00mA,Power=175.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x20",2/7/2025 21:31,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075153661F,PSLNo=0101248D2B022925,Intensity=100,Voltage=211.00V,Current=0283.00mA,Power=059.00W,MqttByte=0x03,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:30,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075163876F,PSLNo=1112238D2B030151,Intensity=100,Voltage=200.00V,Current=0444.00mA,Power=088.00W,MqttByte=0x03,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:30,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074036404F,PSLNo=1612238D2B03095348,Intensity=100,Voltage=230.00V,Current=0659.00mA,Power=151.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:30,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074029458F,PSLNo=1112238D2B02011248,Intensity=000,Voltage=253.00V,Current=0000.00mA,Power=000.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:30,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074045710F,PSLNo=3012238D2B022705,Intensity=100,Voltage=238.00V,Current=0645.00mA,Power=153.00W,MqttByte=0x02,SLCfault=0x80,Driverfault=0x00",2/7/2025 21:29,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075153661F,PSLNo=0101248D2B022925,Intensity=100,Voltage=210.00V,Current=0284.00mA,Power=059.00W,MqttByte=0x03,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:28,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075156136F,PSLNo=2112238D2B01158848,Intensity=100,Voltage=254.00V,Current=0598.00mA,Power=149.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x80",2/7/2025 21:28,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506075163876F,PSLNo=1112238D2B030151,Intensity=100,Voltage=200.00V,Current=0445.00mA,Power=088.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:28,null,Device,Success,null
5.75409E+12,Incoming,"IMEI=862506074026561F,PSLNo=1412238D2B01043748,Intensity=100,Voltage=213.00V,Current=0425.00mA,Power=090.00W,MqttByte=0x02,SLCfault=0x00,Driverfault=0x00",2/7/2025 21:28,null,Device,Success,null
